iter	Passed	Remaining
0	1	1031
1	1	997
2	2	972
3	4	1080
4	5	1115
5	6	1076
6	7	1036
7	8	1012
8	9	991
9	9	970
10	10	961
11	11	947
12	12	939
13	13	926
14	13	918
15	14	908
16	15	901
17	16	897
18	17	897
19	18	929
20	20	936
21	21	933
22	21	929
23	22	924
24	23	920
25	24	915
26	25	911
27	26	907
28	27	906
29	27	902
30	28	898
31	29	894
32	30	891
33	31	888
34	32	886
35	33	885
36	34	888
37	35	887
38	35	885
39	36	884
40	37	888
41	39	894
42	40	894
43	41	892
44	41	889
45	42	886
46	43	884
47	44	883
48	45	881
49	46	880
50	47	883
51	48	887
52	49	889
53	50	888
54	51	886
55	52	884
56	53	882
57	54	878
58	54	876
59	55	874
60	56	873
61	57	871
62	58	869
63	59	867
64	60	866
65	61	865
66	61	862
67	62	861
68	64	866
69	65	867
70	66	864
71	66	860
72	67	857
73	68	854
74	69	851
75	69	849
76	70	846
77	71	843
78	72	841
79	72	838
80	73	835
81	74	833
82	74	827
83	75	826
84	76	824
85	77	823
86	78	828
87	79	827
88	80	825
89	81	822
90	82	820
91	82	818
92	83	816
93	84	813
94	85	810
95	85	808
96	86	806
97	87	805
98	88	803
99	89	801
100	89	799
101	90	798
102	91	796
103	92	794
104	93	795
105	94	797
106	95	795
107	96	793
108	96	791
109	97	789
110	98	787
111	99	785
112	99	783
113	100	780
114	101	778
115	102	783
116	103	781
117	104	779
118	105	777
119	105	776
120	106	774
121	107	771
122	108	770
123	109	773
124	110	773
125	111	772
126	111	769
127	112	767
128	113	765
129	114	763
130	114	761
131	116	763
132	117	762
133	118	762
134	118	760
135	119	759
136	120	758
137	121	757
138	122	756
139	122	754
140	123	753
141	124	751
142	125	749
143	126	749
144	126	748
145	127	748
146	129	748
147	130	748
148	131	748
149	132	748
150	133	747
151	134	748
152	135	750
153	136	748
154	137	747
155	137	746
156	139	747
157	140	746
158	140	744
159	141	743
160	142	740
161	142	738
162	143	736
163	144	735
164	145	734
165	145	733
166	146	732
167	147	730
168	148	729
169	149	727
170	149	726
171	150	725
172	151	723
173	152	722
174	153	722
175	154	721
176	155	721
177	155	719
178	156	717
179	157	717
180	158	716
181	159	714
182	159	713
183	160	712
184	161	711
185	162	709
186	162	708
187	163	707
188	164	705
189	165	704
190	166	703
191	166	702
192	167	701
193	168	701
194	169	701
195	170	699
196	171	698
197	172	697
198	172	695
199	173	694
200	174	692
201	175	691
202	175	690
203	176	689
204	177	688
205	178	686
206	178	685
207	179	684
208	180	683
209	181	681
210	182	681
211	183	680
212	184	680
213	185	680
214	185	678
215	186	677
216	187	676
217	188	674
218	188	673
219	189	671
220	190	670
221	191	669
222	191	668
223	192	666
224	193	666
225	194	665
226	195	664
227	195	662
228	196	661
229	197	661
230	198	660
231	199	660
232	200	660
233	201	659
234	202	657
235	202	656
236	203	655
237	204	653
238	204	652
239	205	651
240	206	649
241	207	648
242	207	647
243	208	646
244	209	645
245	210	643
246	210	642
247	211	641
248	212	640
249	213	641
250	214	640
251	215	639
252	216	637
253	216	636
254	217	635
255	218	634
256	218	632
257	219	631
258	220	630
259	221	630
260	222	629
261	223	628
262	223	627
263	224	626
264	225	625
265	226	624
266	226	623
267	227	622
268	228	621
269	229	620
270	230	620
271	231	619
272	232	618
273	233	618
274	234	617
275	235	617
276	236	616
277	236	615
278	237	613
279	238	612
280	239	611
281	239	610
282	240	609
283	241	607
284	242	607
285	243	607
286	244	606
287	245	605
288	245	604
289	246	603
290	247	602
291	248	601
292	248	600
293	249	599
294	250	598
295	250	596
296	251	595
297	252	594
298	253	593
299	253	592
300	254	591
301	255	590
302	256	589
303	257	588
304	258	588
305	259	587
306	260	587
307	260	586
308	261	584
309	262	583
310	263	582
